type,node_id,parent_id,planet_id,depth,size,x,y,z,r,g,b,image_id
image,,5_node_664,5,3,1,8.135575294494629,3.8806405067443848,4.61724853515625,,,,Image_4313.jpg
image,,5_node_664,5,3,1,8.215103149414062,3.7373135089874268,4.60637092590332,,,,Image_3087.jpg
image,,5_node_664,5,3,1,8.134308815002441,3.7370777130126953,4.625949859619141,,,,Image_4462.jpg
image,,5_node_664,5,3,1,8.206844329833984,3.805122137069702,4.645208835601807,,,,Image_801.jpg
image,,5_node_664,5,3,1,8.15843391418457,3.796121597290039,4.600706577301025,,,,Image_5524.jpg
image,,5_node_664,5,3,1,8.183225631713867,3.7776920795440674,4.587332248687744,,,,Image_2988.jpg
image,,5_node_664,5,3,1,8.180548667907715,3.7806544303894043,4.6195831298828125,,,,Image_5477.jpg
image,,5_node_664,5,3,1,8.177356719970703,3.7610855102539062,4.607504844665527,,,,Image_3875.jpg
image,,5_node_664,5,3,1,8.186378479003906,3.7790982723236084,4.60136604309082,,,,Image_2856.jpg
image,,5_node_664,5,3,1,8.198657035827637,3.7709743976593018,4.591864109039307,,,,Image_5621.jpg
image,,5_node_664,5,3,1,8.198311805725098,3.768906354904175,4.600799083709717,,,,Image_939.jpg
image,,5_node_663,5,3,1,7.627092361450195,4.653226852416992,3.838682174682617,,,,Image_4341.jpg
image,,5_node_663,5,3,1,8.166230201721191,4.377445697784424,4.347340106964111,,,,Image_2811.jpg
image,,5_node_663,5,3,1,7.874439716339111,4.9730987548828125,4.6754231452941895,,,,Image_364.jpg
image,,5_node_663,5,3,1,8.185750961303711,5.949128150939941,4.745255470275879,,,,Image_3252.jpg
image,,5_node_663,5,3,1,8.042255401611328,4.264074802398682,4.976583003997803,,,,Image_2661.jpg
image,,5_node_663,5,3,1,8.110818862915039,4.262165069580078,4.729114532470703,,,,Image_1864.jpg
image,,5_node_663,5,3,1,8.411867141723633,5.402713298797607,4.571665287017822,,,,Image_5720.jpg
image,,5_node_663,5,3,1,8.052478790283203,4.306826114654541,4.6815290451049805,,,,Image_2467.jpg
image,,5_node_663,5,3,1,7.770198822021484,4.401021957397461,4.780283451080322,,,,Image_3349.jpg
image,,5_node_663,5,3,1,8.088618278503418,5.1690239906311035,4.948520183563232,,,,Image_5274.jpg
image,,5_node_663,5,3,1,8.320367813110352,5.282386779785156,4.6256327629089355,,,,Image_2359.jpg
image,,5_node_663,5,3,1,7.575614929199219,5.1990227699279785,4.710506916046143,,,,Image_1592.jpg
image,,5_node_663,5,3,1,7.498138427734375,5.575898170471191,4.576952934265137,,,,Image_2479.jpg
image,,5_node_663,5,3,1,8.248957633972168,5.5375590324401855,4.6155314445495605,,,,Image_916.jpg
image,,5_node_663,5,3,1,7.908644676208496,3.9466500282287598,5.352715492248535,,,,Image_4789.jpg
image,,5_node_663,5,3,1,7.877040863037109,3.9724159240722656,5.339163780212402,,,,Image_4500.jpg
image,,5_node_663,5,3,1,7.964890003204346,5.202373027801514,4.508073329925537,,,,Image_2230.jpg
image,,5_node_663,5,3,1,7.96531867980957,4.24578857421875,4.278347969055176,,,,Image_1875.jpg
image,,5_node_663,5,3,1,7.602555274963379,4.827756404876709,4.577364921569824,,,,Image_6150.jpg
image,,5_node_663,5,3,1,7.4572319984436035,3.9575319290161133,5.244285583496094,,,,Image_4243.jpg
image,,5_node_663,5,3,1,8.135108947753906,5.19430685043335,4.770313262939453,,,,Image_520.jpg
image,,5_node_663,5,3,1,7.8491530418396,4.748310089111328,4.586367130279541,,,,Image_6478.jpg
image,,5_node_663,5,3,1,8.583922386169434,5.673586368560791,4.541599273681641,,,,Image_4886.jpg
image,,5_node_663,5,3,1,7.533824443817139,4.780203342437744,4.26975154876709,,,,Image_2202.jpg
image,,5_node_663,5,3,1,7.558923721313477,4.60655403137207,4.609697341918945,,,,Image_3833.jpg
image,,5_node_663,5,3,1,8.215785026550293,5.2785773277282715,4.695948600769043,,,,Image_2854.jpg
image,,5_node_663,5,3,1,8.089128494262695,5.424774169921875,4.790093898773193,,,,Image_2755.jpg
image,,5_node_663,5,3,1,7.600257396697998,4.356941223144531,4.928220272064209,,,,Image_96.jpg
image,,5_node_663,5,3,1,8.518458366394043,5.287306308746338,4.396074295043945,,,,Image_843.jpg
image,,5_node_663,5,3,1,7.8740997314453125,5.712759494781494,4.51461935043335,,,,Image_3307.jpg
image,,5_node_663,5,3,1,7.903390407562256,4.117547035217285,4.622565269470215,,,,Image_6050.jpg
image,,5_node_663,5,3,1,7.80691385269165,5.2928876876831055,4.791060924530029,,,,Image_1843.jpg
image,,5_node_663,5,3,1,8.664133071899414,5.662060260772705,4.457394599914551,,,,Image_6354.jpg
image,,5_node_663,5,3,1,8.78317642211914,5.896994113922119,4.450641632080078,,,,Image_5145.jpg
image,,5_node_663,5,3,1,7.714226245880127,4.797173500061035,3.981093406677246,,,,Image_1093.jpg
image,,5_node_663,5,3,1,7.696727752685547,5.3245930671691895,4.504055976867676,,,,Image_4684.jpg
image,,5_node_663,5,3,1,7.926916599273682,5.082553386688232,4.284290790557861,,,,Image_5840.jpg
image,,5_node_663,5,3,1,8.061482429504395,5.611631870269775,4.875117778778076,,,,Image_1165.jpg
image,,5_node_663,5,3,1,8.032054901123047,5.059253692626953,4.063225746154785,,,,Image_5820.jpg
image,,5_node_663,5,3,1,7.80556583404541,5.534787654876709,4.706187725067139,,,,Image_5029.jpg
image,,5_node_663,5,3,1,8.280734062194824,5.297445297241211,4.413493633270264,,,,Image_1057.jpg
image,,5_node_663,5,3,1,8.041067123413086,5.377227783203125,4.905215740203857,,,,Image_1807.jpg
image,,5_node_663,5,3,1,7.902011871337891,6.049765110015869,3.8611018657684326,,,,Image_3530.jpg
image,,5_node_663,5,3,1,7.768712043762207,5.4855265617370605,4.1198601722717285,,,,Image_613.jpg
image,,5_node_663,5,3,1,8.101017951965332,5.214051723480225,4.561219692230225,,,,Image_3452.jpg
image,,5_node_663,5,3,1,7.922239303588867,5.584560394287109,5.012304306030273,,,,Image_2257.jpg
image,,5_node_663,5,3,1,7.8898606300354,5.780208587646484,4.2369465827941895,,,,Image_5634.jpg
image,,5_node_663,5,3,1,7.598029136657715,4.76192045211792,4.329519748687744,,,,Image_4964.jpg
image,,5_node_663,5,3,1,8.159563064575195,5.505920886993408,4.668824672698975,,,,Image_1696.jpg
image,,5_node_663,5,3,1,8.208785057067871,5.491201400756836,4.150591850280762,,,,Image_150.jpg
image,,5_node_663,5,3,1,7.805561065673828,5.427237033843994,4.921603202819824,,,,Image_1688.jpg
image,,5_node_663,5,3,1,7.8895583152771,4.565072059631348,4.060642719268799,,,,Image_3427.jpg
image,,5_node_663,5,3,1,7.7180399894714355,5.43475341796875,4.80304479598999,,,,Image_2805.jpg
image,,5_node_663,5,3,1,8.007600784301758,5.628162860870361,4.513955116271973,,,,Image_3852.jpg
image,,5_node_663,5,3,1,7.777228832244873,5.366579532623291,4.220676422119141,,,,Image_6255.jpg
image,,5_node_663,5,3,1,7.541197776794434,4.514243125915527,4.9917683601379395,,,,Image_305.jpg
image,,5_node_663,5,3,1,7.573841571807861,4.713497161865234,4.322617053985596,,,,Image_2508.jpg
image,,5_node_663,5,3,1,8.50190544128418,5.531448841094971,4.4799418449401855,,,,Image_4982.jpg
image,,5_node_666,5,3,1,7.616885662078857,4.146937370300293,5.347965717315674,,,,Image_551.jpg
image,,5_node_666,5,3,1,7.685117244720459,4.216955661773682,5.2619242668151855,,,,Image_3928.jpg
image,,5_node_666,5,3,1,7.80708122253418,3.986931324005127,5.366907119750977,,,,Image_325.jpg
image,,5_node_666,5,3,1,7.742153167724609,4.192395210266113,5.248748302459717,,,,Image_4654.jpg
image,,5_node_666,5,3,1,7.782102108001709,3.9829375743865967,5.355274677276611,,,,Image_3995.jpg
image,,5_node_666,5,3,1,7.718905925750732,4.011357307434082,5.335051536560059,,,,Image_6297.jpg
image,,5_node_666,5,3,1,7.691102981567383,4.075565814971924,5.374353408813477,,,,Image_4344.jpg
image,,5_node_666,5,3,1,7.724149227142334,4.0801520347595215,5.331188201904297,,,,Image_2174.jpg
image,,5_node_666,5,3,1,7.724478721618652,4.084801197052002,5.369386672973633,,,,Image_6497.jpg
image,,5_node_666,5,3,1,7.695361614227295,4.065426349639893,5.351404190063477,,,,Image_4510.jpg
